isin,symbol,report_type,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
US0640581007,BK,annual,2023-12-31,USD,4088000000.0,17502000000.0,13414000000.0,90000000.0,-38000000.0,4069000000.0,None,4126000000.0,None,4345000000.0,20648000000.0,16303000000.0,13157000000.0,None,None,57000000.0,4086000000.0,800000000.0,16303000000.0,-14133000000.0,4359000000.0,20389000000.0,20446000000.0,3286000000.0
US0640581007,BK,annual,2022-12-31,USD,3328000000.0,16377000000.0,13049000000.0,None,-1275000000.0,3850000000.0,None,4603000000.0,None,3504000000.0,7118000000.0,3614000000.0,12873000000.0,None,None,73000000.0,3341000000.0,768000000.0,3614000000.0,-15053000000.0,-1180000000.0,6955000000.0,7028000000.0,2573000000.0
US0640581007,BK,annual,2021-12-31,USD,4648000000.0,15931000000.0,11283000000.0,None,1021000000.0,3542000000.0,None,3627000000.0,None,2618000000.0,2845000000.0,227000000.0,13313000000.0,None,None,85000000.0,4636000000.0,877000000.0,227000000.0,-11370000000.0,2531000000.0,4863000000.0,4948000000.0,3759000000.0
US0640581007,BK,annual,2020-12-31,USD,4468000000.0,15808000000.0,11340000000.0,None,904000000.0,3459000000.0,None,3564000000.0,84000000.0,2977000000.0,4109000000.0,1132000000.0,12831000000.0,84000000.0,None,105000000.0,4459000000.0,842000000.0,1132000000.0,-10858000000.0,5275000000.0,5591000000.0,5696000000.0,3617000000.0
US0640581007,BK,annual,2019-12-31,USD,5587000000.0,16462000000.0,10875000000.0,None,2104000000.0,3344000000.0,None,3483000000.0,56000000.0,3188000000.0,7548000000.0,4360000000.0,13274000000.0,56000000.0,None,124000000.0,5561000000.0,1120000000.0,4360000000.0,-9860000000.0,5064000000.0,9921000000.0,10045000000.0,4441000000.0
US0640581007,BK,annual,2018-12-31,USD,5216000000.0,16392000000.0,11200000000.0,-862000000.0,1766000000.0,3259000000.0,None,3450000000.0,-13000000.0,3611000000.0,6432000000.0,2821000000.0,12794000000.0,-13000000.0,None,180000000.0,5204000000.0,938000000.0,2821000000.0,4254000000.0,3454000000.0,8025000000.0,8205000000.0,4266000000.0
US0640581007,BK,annual,2017-12-31,USD,6117000000.0,15543000000.0,10933000000.0,1050000000.0,-3165000000.0,9073000000.0,None,9282000000.0,70000000.0,3308000000.0,4382000000.0,1074000000.0,12165000000.0,70000000.0,None,209000000.0,4586000000.0,496000000.0,1074000000.0,4114000000.0,5498000000.0,5660000000.0,5869000000.0,4090000000.0
US0640581007,BK,annual,2016-12-31,USD,6114000000.0,16626000000.0,10512000000.0,426000000.0,-3111000000.0,8788000000.0,None,9225000000.0,26000000.0,3138000000.0,3575000000.0,437000000.0,12073000000.0,26000000.0,None,237000000.0,4724000000.0,1177000000.0,437000000.0,3548000000.0,2382000000.0,5161000000.0,5398000000.0,3547000000.0
US0640581007,BK,annual,2015-12-31,USD,4327000000.0,15126000000.0,10799000000.0,460000000.0,-5164000000.0,8993000000.0,None,9491000000.0,86000000.0,3026000000.0,3326000000.0,300000000.0,12082000000.0,86000000.0,None,261000000.0,4171000000.0,1013000000.0,300000000.0,3222000000.0,2192000000.0,4471000000.0,4732000000.0,3158000000.0
US0640581007,BK,annual,2014-12-31,USD,3431000000.0,15608000000.0,12177000000.0,306000000.0,-7078000000.0,9129000000.0,None,10509000000.0,163000000.0,2880000000.0,3234000000.0,354000000.0,12649000000.0,163000000.0,None,298000000.0,3479000000.0,912000000.0,354000000.0,2567000000.0,1825000000.0,3833000000.0,4131000000.0,2567000000.0
US0640581007,BK,annual,2013-12-31,USD,3597000000.0,14968000000.0,11306000000.0,308000000.0,-5843000000.0,7063000000.0,None,9783000000.0,None,3009000000.0,3352000000.0,343000000.0,11959000000.0,183000000.0,None,342000000.0,3696000000.0,1592000000.0,343000000.0,2104000000.0,1855000000.0,4039000000.0,4381000000.0,2104000000.0
US0640581007,BK,annual,2012-12-31,USD,3146000000.0,14534000000.0,11333000000.0,454000000.0,-6682000000.0,7014000000.0,None,10362000000.0,None,2973000000.0,3507000000.0,534000000.0,11561000000.0,189000000.0,None,384000000.0,3279000000.0,842000000.0,534000000.0,2437000000.0,3421000000.0,3813000000.0,4197000000.0,2437000000.0
US0640581007,BK,annual,2011-12-31,USD,3568000000.0,14680000000.0,11112000000.0,605000000.0,-6041000000.0,6995000000.0,None,10213000000.0,None,2984000000.0,3588000000.0,604000000.0,11696000000.0,200000000.0,None,428000000.0,3564000000.0,1048000000.0,604000000.0,2516000000.0,2244000000.0,4168000000.0,4596000000.0,2516000000.0
US0640581007,BK,annual,2010-12-31,USD,3646000000.0,13816000000.0,10170000000.0,619000000.0,-4967000000.0,6350000000.0,None,9221000000.0,None,2925000000.0,3470000000.0,545000000.0,10891000000.0,226000000.0,None,421000000.0,3565000000.0,1047000000.0,608000000.0,2584000000.0,2960000000.0,4110000000.0,4531000000.0,2518000000.0
US0640581007,BK,annual,2009-12-31,USD,-1246000000.0,7654000000.0,9563000000.0,924000000.0,-8684000000.0,5281000000.0,None,8030000000.0,None,2915000000.0,3508000000.0,593000000.0,4739000000.0,None,None,426000000.0,-2209000000.0,-1395000000.0,592000000.0,-814000000.0,3158000000.0,-1616000000.0,-1190000000.0,-814000000.0
US0640581007,BK,quarterly,2024-09-30,USD,1502000000.0,4625000000.0,3123000000.0,33000000.0,451000000.0,1039000000.0,None,1051000000.0,None,1048000000.0,6652000000.0,5604000000.0,3600000000.0,None,None,12000000.0,1518000000.0,336000000.0,None,-2985000000.0,2215000000.0,451000000.0,463000000.0,1182000000.0
US0640581007,BK,quarterly,2024-06-30,USD,1527000000.0,4597000000.0,3070000000.0,33000000.0,480000000.0,1034000000.0,None,1047000000.0,None,1030000000.0,6392000000.0,5362000000.0,3567000000.0,None,None,13000000.0,1525000000.0,357000000.0,None,-2947000000.0,1144000000.0,480000000.0,493000000.0,1168000000.0
US0640581007,BK,quarterly,2024-03-31,USD,1297000000.0,4500000000.0,3203000000.0,29000000.0,301000000.0,984000000.0,None,996000000.0,None,1040000000.0,6096000000.0,5056000000.0,3487000000.0,None,None,12000000.0,1322000000.0,297000000.0,5056000000.0,-3172000000.0,1042000000.0,6378000000.0,6390000000.0,1025000000.0
US0640581007,BK,quarterly,2023-12-31,USD,267000000.0,4346000000.0,4079000000.0,None,-862000000.0,1115000000.0,None,1129000000.0,None,1101000000.0,5963000000.0,4862000000.0,3257000000.0,None,None,14000000.0,234000000.0,73000000.0,4862000000.0,-4886000000.0,1120000000.0,5096000000.0,5110000000.0,208000000.0
US0640581007,BK,quarterly,2023-09-30,USD,1279000000.0,4371000000.0,3092000000.0,29000000.0,268000000.0,996000000.0,None,1011000000.0,None,1016000000.0,5519000000.0,4503000000.0,3404000000.0,None,None,15000000.0,1279000000.0,285000000.0,4503000000.0,-3062000000.0,837000000.0,5782000000.0,5797000000.0,1040000000.0
US0640581007,BK,quarterly,2023-06-30,USD,1333000000.0,4449000000.0,3116000000.0,30000000.0,323000000.0,996000000.0,None,1010000000.0,None,1100000000.0,5224000000.0,4124000000.0,3404000000.0,None,None,14000000.0,1337000000.0,315000000.0,4124000000.0,-3058000000.0,1013000000.0,5461000000.0,5475000000.0,1072000000.0
US0640581007,BK,quarterly,2023-03-31,USD,1209000000.0,4336000000.0,3127000000.0,28000000.0,233000000.0,962000000.0,None,976000000.0,None,1128000000.0,3942000000.0,2814000000.0,3287000000.0,None,None,14000000.0,1236000000.0,306000000.0,2814000000.0,-3127000000.0,1405000000.0,4050000000.0,4064000000.0,982000000.0
US0640581007,BK,quarterly,2022-12-31,USD,665000000.0,3937000000.0,3233000000.0,None,-386000000.0,1035000000.0,None,1051000000.0,None,1056000000.0,3197000000.0,2141000000.0,2862000000.0,None,None,16000000.0,685000000.0,142000000.0,2141000000.0,-3741000000.0,1204000000.0,2826000000.0,2842000000.0,543000000.0
US0640581007,BK,quarterly,2022-09-30,USD,660000000.0,4309000000.0,3649000000.0,562000000.0,-979000000.0,942000000.0,None,1639000000.0,None,926000000.0,1984000000.0,1058000000.0,3353000000.0,None,None,17000000.0,630000000.0,242000000.0,1058000000.0,-4900000000.0,-932000000.0,1688000000.0,1705000000.0,388000000.0
US0640581007,BK,quarterly,2022-06-30,USD,1048000000.0,4207000000.0,3159000000.0,26000000.0,79000000.0,952000000.0,None,969000000.0,None,824000000.0,1159000000.0,335000000.0,3430000000.0,None,None,17000000.0,1100000000.0,231000000.0,335000000.0,-3264000000.0,-557000000.0,1435000000.0,1452000000.0,869000000.0
US0640581007,BK,quarterly,2022-03-31,USD,916000000.0,3924000000.0,3008000000.0,23000000.0,-22000000.0,921000000.0,None,938000000.0,None,698000000.0,778000000.0,80000000.0,3228000000.0,None,None,17000000.0,926000000.0,153000000.0,80000000.0,-3181000000.0,-895000000.0,1006000000.0,1023000000.0,773000000.0
US0640581007,BK,quarterly,2021-12-31,USD,1082000000.0,3572000000.0,2950000000.0,None,117000000.0,946000000.0,None,965000000.0,None,677000000.0,729000000.0,52000000.0,3338000000.0,None,None,19000000.0,1059000000.0,196000000.0,52000000.0,4000000.0,653000000.0,1111000000.0,1130000000.0,863000000.0
US0640581007,BK,quarterly,2021-09-30,USD,1336000000.0,4209000000.0,2873000000.0,29000000.0,440000000.0,877000000.0,None,896000000.0,None,641000000.0,693000000.0,52000000.0,3394000000.0,None,None,19000000.0,1166000000.0,219000000.0,52000000.0,-2693000000.0,614000000.0,1218000000.0,1237000000.0,947000000.0
US0640581007,BK,quarterly,2021-06-30,USD,1445000000.0,4137000000.0,2692000000.0,32000000.0,553000000.0,872000000.0,None,892000000.0,None,645000000.0,685000000.0,40000000.0,3315000000.0,None,None,20000000.0,1263000000.0,241000000.0,40000000.0,-2466000000.0,1171000000.0,1303000000.0,1323000000.0,1022000000.0
US0640581007,BK,quarterly,2021-03-31,USD,1245000000.0,4013000000.0,2768000000.0,29000000.0,374000000.0,847000000.0,None,871000000.0,None,655000000.0,738000000.0,83000000.0,3266000000.0,None,None,24000000.0,1148000000.0,221000000.0,83000000.0,-2698000000.0,93000000.0,1231000000.0,1255000000.0,927000000.0
US0640581007,BK,quarterly,2020-12-31,USD,937000000.0,4207000000.0,2940000000.0,None,-28000000.0,939000000.0,None,965000000.0,41000000.0,680000000.0,776000000.0,96000000.0,3163000000.0,41000000.0,None,26000000.0,898000000.0,148000000.0,96000000.0,-34000000.0,1124000000.0,994000000.0,1020000000.0,750000000.0
US0640581007,BK,quarterly,2020-09-30,USD,1121000000.0,3811000000.0,2690000000.0,30000000.0,247000000.0,848000000.0,None,874000000.0,27000000.0,703000000.0,820000000.0,117000000.0,3144000000.0,27000000.0,None,26000000.0,1150000000.0,213000000.0,117000000.0,-2620000000.0,1521000000.0,1267000000.0,1293000000.0,937000000.0
US0640581007,BK,quarterly,2020-06-30,USD,984000000.0,3813000000.0,2829000000.0,29000000.0,119000000.0,839000000.0,None,865000000.0,54000000.0,780000000.0,943000000.0,163000000.0,3230000000.0,54000000.0,None,26000000.0,1166000000.0,216000000.0,163000000.0,-2729000000.0,1834000000.0,1329000000.0,1355000000.0,950000000.0
US0640581007,BK,quarterly,2020-03-31,USD,1096000000.0,3977000000.0,2881000000.0,30000000.0,237000000.0,833000000.0,None,859000000.0,-38000000.0,814000000.0,1570000000.0,756000000.0,3294000000.0,-38000000.0,None,26000000.0,1245000000.0,265000000.0,756000000.0,-2778000000.0,796000000.0,2001000000.0,2027000000.0,980000000.0
US0640581007,BK,quarterly,2019-12-31,USD,1813000000.0,4776000000.0,2956000000.0,None,876000000.0,909000000.0,None,937000000.0,17000000.0,815000000.0,1721000000.0,906000000.0,3946000000.0,17000000.0,None,28000000.0,1813000000.0,373000000.0,906000000.0,-2444000000.0,1695000000.0,2719000000.0,2747000000.0,1440000000.0
US0640581007,BK,quarterly,2019-09-30,USD,1308000000.0,3882000000.0,2574000000.0,33000000.0,394000000.0,810000000.0,None,914000000.0,3000000.0,730000000.0,1942000000.0,1212000000.0,3128000000.0,3000000.0,None,32000000.0,1284000000.0,246000000.0,1212000000.0,-2439000000.0,833000000.0,2496000000.0,2528000000.0,1038000000.0
US0640581007,BK,quarterly,2019-06-30,USD,1291000000.0,3930000000.0,2639000000.0,33000000.0,422000000.0,835000000.0,None,869000000.0,10000000.0,802000000.0,1965000000.0,1163000000.0,3112000000.0,10000000.0,None,32000000.0,1281000000.0,264000000.0,1163000000.0,-2479000000.0,1319000000.0,2444000000.0,2476000000.0,1017000000.0
US0640581007,BK,quarterly,2019-03-31,USD,1160000000.0,3866000000.0,2706000000.0,31000000.0,337000000.0,790000000.0,None,823000000.0,26000000.0,841000000.0,1920000000.0,1079000000.0,3032000000.0,26000000.0,None,29000000.0,1183000000.0,237000000.0,1079000000.0,-2573000000.0,1217000000.0,2262000000.0,2291000000.0,946000000.0
US0640581007,BK,quarterly,2018-12-31,USD,1044000000.0,2818000000.0,2987000000.0,979000000.0,63000000.0,943000000.0,None,981000000.0,-24000000.0,885000000.0,1864000000.0,979000000.0,3146000000.0,-24000000.0,None,35000000.0,1031000000.0,150000000.0,979000000.0,-3098000000.0,693000000.0,2010000000.0,2045000000.0,881000000.0
US0640581007,BK,quarterly,2018-09-30,USD,1710000000.0,4445000000.0,2735000000.0,33000000.0,-529000000.0,2189000000.0,None,2239000000.0,10000000.0,891000000.0,1634000000.0,743000000.0,3168000000.0,10000000.0,None,48000000.0,1331000000.0,220000000.0,743000000.0,-3477000000.0,923000000.0,2074000000.0,2122000000.0,1111000000.0
US0640581007,BK,quarterly,2018-06-30,USD,1777000000.0,4521000000.0,2744000000.0,34000000.0,-502000000.0,2227000000.0,None,2279000000.0,12000000.0,916000000.0,1553000000.0,637000000.0,3210000000.0,12000000.0,None,48000000.0,1389000000.0,286000000.0,637000000.0,-3523000000.0,651000000.0,2026000000.0,2074000000.0,1103000000.0
US0640581007,BK,quarterly,2018-03-31,USD,1874000000.0,4608000000.0,2734000000.0,35000000.0,-407000000.0,2230000000.0,None,2281000000.0,-11000000.0,919000000.0,1381000000.0,462000000.0,3270000000.0,-11000000.0,None,49000000.0,1453000000.0,282000000.0,462000000.0,-3439000000.0,1187000000.0,1915000000.0,1964000000.0,1171000000.0
US0640581007,BK,quarterly,2017-12-31,USD,1117000000.0,2610000000.0,3000000000.0,362000000.0,-1351000000.0,2416000000.0,None,2468000000.0,17000000.0,851000000.0,1219000000.0,368000000.0,2860000000.0,-1000000.0,None,52000000.0,722000000.0,-453000000.0,368000000.0,-3888000000.0,1599000000.0,1090000000.0,1142000000.0,1175000000.0
US0640581007,BK,quarterly,2017-09-30,USD,1747000000.0,4395000000.0,2648000000.0,69000000.0,-444000000.0,2139000000.0,None,2191000000.0,10000000.0,839000000.0,1151000000.0,312000000.0,3167000000.0,28000000.0,None,52000000.0,1366000000.0,348000000.0,312000000.0,-3437000000.0,1330000000.0,1678000000.0,1730000000.0,1018000000.0
US0640581007,BK,quarterly,2017-06-30,USD,1699000000.0,4347000000.0,2648000000.0,68000000.0,-465000000.0,2111000000.0,None,2164000000.0,10000000.0,826000000.0,1052000000.0,226000000.0,3120000000.0,10000000.0,None,53000000.0,1307000000.0,332000000.0,226000000.0,-3443000000.0,1406000000.0,1533000000.0,1586000000.0,975000000.0
US0640581007,BK,quarterly,2017-03-31,USD,1554000000.0,4191000000.0,2637000000.0,64000000.0,-635000000.0,2137000000.0,None,2189000000.0,33000000.0,792000000.0,960000000.0,168000000.0,3018000000.0,33000000.0,None,52000000.0,1191000000.0,269000000.0,168000000.0,-3514000000.0,1163000000.0,1359000000.0,1411000000.0,922000000.0
US0640581007,BK,quarterly,2016-12-31,USD,1495000000.0,4133000000.0,2638000000.0,104000000.0,-686000000.0,2121000000.0,None,2181000000.0,5000000.0,831000000.0,928000000.0,97000000.0,2954000000.0,5000000.0,None,60000000.0,1150000000.0,280000000.0,97000000.0,-3594000000.0,-110000000.0,1247000000.0,1307000000.0,870000000.0
